iter	RMSE
0	0.2024348563
1	0.1934819651
2	0.1849963266
3	0.1770104699
4	0.1693998781
5	0.1622125447
6	0.1554702432
7	0.1491023206
8	0.1431092191
9	0.1374100496
10	0.1320150149
11	0.1269101087
12	0.1221419236
13	0.1176449823
14	0.1134234705
15	0.1094404641
16	0.1056782578
17	0.1021809419
18	0.09892583659
19	0.09584453163
20	0.09298719402
21	0.09030211758
22	0.08781148836
23	0.08548985565
24	0.08331913749
25	0.08125187609
26	0.07933347009
27	0.07756930089
28	0.07595396063
29	0.07445723521
30	0.0730152667
31	0.07167154358
32	0.07048786424
33	0.06935436378
34	0.06826988098
35	0.06731601322
36	0.06640162678
37	0.06558581961
38	0.06479974228
39	0.06408704604
40	0.06343012868
41	0.06281781022
42	0.06226354551
43	0.06171200457
44	0.06125115583
45	0.06083691788
46	0.06045196432
47	0.06001231552
48	0.05969054068
49	0.05940093871
50	0.05901420883
51	0.05863106853
52	0.05825642541
53	0.05802755762
54	0.05778301644
55	0.05752411752
56	0.05727515879
57	0.05706197852
58	0.05686676503
59	0.05664360615
60	0.05634261257
61	0.0561794843
62	0.05594630211
63	0.05578316894
64	0.05559265354
65	0.05541932628
66	0.05522366709
67	0.05511300497
68	0.05503035061
69	0.05491580569
70	0.05481069478
71	0.05472019559
72	0.05465381969
73	0.05457569584
74	0.05425717436
75	0.05420547258
76	0.05408543405
77	0.05382523465
78	0.05377440326
79	0.05370633294
80	0.05365430426
81	0.05342465536
82	0.05334741059
83	0.05319225846
84	0.05313807037
85	0.05306599869
86	0.0529700886
87	0.05292541949
88	0.05282954372
89	0.05277073217
90	0.05267921898
91	0.05262251595
92	0.0523930405
93	0.05235599847
94	0.05228854697
95	0.05211494229
96	0.05205196896
97	0.05185443117
98	0.05182209145
99	0.05175051085
100	0.05172229237
101	0.05156524032
102	0.05143463943
103	0.0513905073
104	0.05126778611
105	0.05124309003
106	0.0511656259
107	0.05111182463
108	0.05098897585
109	0.0509562676
110	0.05092349625
111	0.0508436703
112	0.05069245964
113	0.05067440216
114	0.05061730368
115	0.05058375313
116	0.05042351601
117	0.05030189412
118	0.05026417556
119	0.05009766213
120	0.05002170709
121	0.04996149331
122	0.04982340689
123	0.04979081394
124	0.0496016489
125	0.04951339769
126	0.04937697643
127	0.0493326243
128	0.04928745673
129	0.0492559184
130	0.04918149635
131	0.04908198878
132	0.04906101502
133	0.04892785102
134	0.0488823475
135	0.04881583497
136	0.0487523859
137	0.04861979328
138	0.04848523383
139	0.04844632973
140	0.04838158665
141	0.04832648607
142	0.04829355716
143	0.04824676226
144	0.04820778969
145	0.0481506602
146	0.04804647654
147	0.04801061399
148	0.0479531031
149	0.04792612609
150	0.04777878209
151	0.04774538622
152	0.04764462301
153	0.04761331726
154	0.04753273046
155	0.0474043826
156	0.04733025464
157	0.04728982986
158	0.04723585537
159	0.04718728648
160	0.04713985368
161	0.04710617655
162	0.04709161875
163	0.04700554064
164	0.04698645811
165	0.04691203074
166	0.04690118204
167	0.04682931733
168	0.04680209798
169	0.04676794854
170	0.04675634672
171	0.04670913829
172	0.04663480415
173	0.04660769918
174	0.04656848392
175	0.04654902061
176	0.04653306502
177	0.04647349409
178	0.04644390406
179	0.04641986872
180	0.04639392557
181	0.04632527681
182	0.04629237779
183	0.04626750888
184	0.04622281404
185	0.04617561851
186	0.04616257521
187	0.04612276838
188	0.04606854193
189	0.04601170827
190	0.04597547514
191	0.04595022694
192	0.04589702416
193	0.04581222062
194	0.04578323517
195	0.04576569591
196	0.04574005172
197	0.04571964462
198	0.04568987324
199	0.04567010543
200	0.04565687209
201	0.0455804702
202	0.04554422556
203	0.04551149287
204	0.04547026637
205	0.04538635699
206	0.04536079892
207	0.04532550033
208	0.04531037377
209	0.04527302888
210	0.04524689777
211	0.04521753512
212	0.04519486609
213	0.04516153726
214	0.04512294203
215	0.04510542031
216	0.0450259116
217	0.04499931249
218	0.04497612926
219	0.04495758969
220	0.04493795
221	0.04492641088
222	0.0448939986
